Zone ,Latitude ,Longitude,Label
Gulshan 1,23.78197886,90.41684932,A
Rampura,23.76956855,90.422085,B
Gabtoli,23.78576776,90.34467405,C
Mirpur 1,23.79935451,90.35308546,D
Agargaon,23.86083892,90.36532449,E
Natun Bazar,23.79967071,90.42393032,F
Gulshan 2,23.79613673,90.41397396,G
Bashundhara R/A,23.82047893,90.45268123,H
HS Airport,23.84539702,90.40249605,I
Shadarghatt,23.70710976,90.40977218,J
Dhanmondi,23.74198834,90.38320531,K
Shahbag,23.73833144,90.39534173,L
New Market,23.73341013,90.38366809,M
Gulistan,23.72324368,90.41258346,N
Matshya  Bhaban,23.73389908,90.40354883,O
Kamlapur Rail Station,23.73243831,90.42639376,P
Zatabari,23.71056218,90.43492837,Q
Aminbazar,23.78602155,90.32978285,R
Farmgate,23.75916729,90.38699582,S
Bijoy Sharani,23.76842393,90.38298348,T
Purbachal,23.85477676,90.50546445,U
Kanchan bridge ,23.8364697,90.54570568,V
Mawa,23.47528336,90.27074127,X
Savar Bus Stand,23.84790958,90.25773549,Y
Gazipur Chow Rasta,23.98949584,90.38144177,Z
